Nom Officiel Département,revenu_median_60_74,hopital_court_sejour,services_urgence,dispensaire,soins_domicile_personnes_agees,aide_menagere_personnes_agees,foyer_restaurant_personnes_agees,repas_domicile_personnes_agees,revenu_median_75_plus,access_med_generalistes,60_74_appart_ascenseur,60_74_appart_sans_ascenseur,60_74_menage_2ans,60_74_autre_logement,60_74_menage_30ans_plus,60_74_en_maison,60_74_isoles,60_74_menage_peu_diplome,60_74_menage_immigre,60_74_proprietaires,femmes_60_74_isolees,60_74_sans_voiture,femmes_75_plus_isolees,75_plus_appart_ascenseur,75_plus_autre_logement,75_plus_menage_30ans_plus,75_plus_en_maison,75_plus_menage_peu_diplome,75_plus_menage_immigre,75_plus_proprietaires,75_plus_sans_voiture
Aveyron,488530.0,7,5,34,33,83,6,1,385230.0,859.955776988,1968.0,5760.0,3951.0,137.0,24734.0,46307.0,12139.0,20604.0,2959.0,46542.0,6987.0,2793.0,9548.0,1827.0,245.0,20979.0,27536.0,23214.0,1338.0,28812.0,8195.0
Bas-Rhin,2439250.0,26,8,40,27,18,5,0,2057960.0,2143.944936228,25491.0,32476.0,9457.0,614.0,82508.0,108715.0,34937.0,51427.0,18646.0,126203.0,22699.0,16047.0,26645.0,13890.0,522.0,57345.0,56685.0,43181.0,5766.0,65662.0,25485.0
Bouches-du-Rhône,2453220.0,24,10,31,36,120,68,18,2207590.0,510.642,16103.0,39167.0,13814.0,1100.0,70015.0,136974.0,43415.0,64801.0,18332.0,144716.0,28899.0,13282.0,30163.0,11503.0,942.0,53323.0,66261.0,57442.0,9689.0,75717.0,27689.0
Calvados,1679580.0,13,9,17,20,118,1,1,1272050.0,1810.513687403,9440.0,13086.0,9405.0,622.0,43919.0,93575.0,28271.0,46038.0,3838.0,88664.0,18660.0,9259.0,21710.0,8689.0,696.0,29585.0,44600.0,39672.0,1487.0,45196.0,17096.0
Cantal,202420.0,7,4,5,13,3,0,0,180730.0,731.64144891,1050.0,3204.0,1946.0,59.0,14228.0,25524.0,6952.0,13095.0,558.0,25519.0,4033.0,1923.0,5537.0,837.0,47.0,10852.0,14889.0,12574.0,232.0,15214.0,4955.0
Charente,769400.0,10,5,9,5,24,0,3,656900.0,1165.601976704,1228.0,3737.0,4642.0,254.0,29470.0,62002.0,14873.0,24651.0,5363.0,56519.0,9219.0,3770.0,11849.0,1125.0,366.0,23000.0,34875.0,25457.0,1442.0,32055.0,8864.0
Charente-Maritime,1664330.0,14,10,11,11,115,4,27,1358410.0,1754.513588933,5425.0,9174.0,13865.0,556.0,42120.0,118484.0,31275.0,46232.0,5156.0,110132.0,20232.0,7241.0,23099.0,5168.0,700.0,34821.0,63059.0,44913.0,1887.0,60863.0,17135.0
Cher,474200.0,5,3,6,17,19,0,0,395460.0,671.529044027,2044.0,3536.0,3688.0,150.0,25331.0,53285.0,14242.0,22136.0,3834.0,48460.0,8766.0,4269.0,11025.0,2114.0,244.0,18790.0,28974.0,21074.0,1620.0,27331.0,9013.0
Corrèze,407280.0,6,2,14,24,33,0,18,371510.0,910.789007253,1550.0,4111.0,3341.0,140.0,19962.0,41654.0,11262.0,16384.0,3302.0,39879.0,6995.0,2625.0,9912.0,1562.0,101.0,17527.0,25392.0,18881.0,1313.0,25097.0,7883.0
Corse-du-Sud,255720.0,5,0,2,6,4,0,0,218140.0,369.377,6780.0,5924.0,2644.0,100.0,7835.0,14745.0,5770.0,10616.0,2407.0,20184.0,3399.0,2241.0,3862.0,4584.0,52.0,7150.0,8177.0,8764.0,921.0,12743.0,4435.0
Creuse,131870.0,5,1,1,10,21,0,22,121460.0,846.523190992,341.0,1484.0,1811.0,98.0,11110.0,23938.0,6562.0,9849.0,1729.0,22280.0,3676.0,1733.0,5340.0,254.0,51.0,10132.0,15036.0,11117.0,443.0,14144.0,4354.0
